index,mid,display_name
0,/m/09x0r,Speech,Speech & vocal sounds
1,/m/0ytgt,"Child speech, kid speaking",Speech & vocal sounds
2,/m/01h8n0,Conversation,Speech & vocal sounds
3,/m/02qldy,"Narration, monologue",Speech & vocal sounds
4,/m/0261r1,Babbling,Speech & vocal sounds
5,/m/0brhx,Speech synthesizer,Speech & vocal sounds
6,/m/07p6fty,Shout,loud vocalisation 
7,/m/07q4ntr,Bellow,loud vocalisation 
8,/m/07rwj3x,Whoop,loud vocalisation 
9,/m/07sr1lc,Yell,loud vocalisation 
10,/t/dd00135,Children shouting,loud vocalisation 
11,/m/03qc9zr,Screaming,loud vocalisation 
12,/m/02rtxlg,Whispering,soft vocalisation
13,/m/01j3sz,Laughter,Laughter & related sounds
14,/t/dd00001,Baby laughter,Laughter & related sounds
15,/m/07r660_,Giggle,Laughter & related sounds
16,/m/07s04w4,Snicker,Laughter & related sounds
17,/m/07sq110,Belly laugh,Laughter & related sounds
18,/m/07rgt08,"Chuckle, chortle",Laughter & related sounds
19,/m/0463cq4,"Crying, sobbing",Crying & emotional vocalisation
20,/t/dd00002,"Baby cry, infant cry",Crying & emotional vocalisation
21,/m/07qz6j3,Whimper,Crying & emotional vocalisation
22,/m/07qw_06,"Wail, moan",Crying & emotional vocalisation
23,/m/07plz5l,Sigh,Crying & emotional vocalisation
24,/m/015lz1,Singing,Singing & musical vocalisation
25,/m/0l14jd,Choir,Singing & musical vocalisation
26,/m/01swy6,Yodeling,Singing & musical vocalisation
27,/m/02bk07,Chant,Singing & musical vocalisation
28,/m/01c194,Mantra,Singing & musical vocalisation
29,/t/dd00005,Child singing,Singing & musical vocalisation
30,/t/dd00006,Synthetic singing,Singing & musical vocalisation
31,/m/06bxc,Rapping,Singing & musical vocalisation
32,/m/02fxyj,Humming,Singing & musical vocalisation
33,/m/07s2xch,Groan,Miscellaneous human sounds
34,/m/07r4k75,Grunt,Miscellaneous human sounds
35,/m/01w250,Whistling,Miscellaneous human sounds
36,/m/0lyf6,Breathing,Miscellaneous human sounds
37,/m/07mzm6,Wheeze,Miscellaneous human sounds
38,/m/01d3sd,Snoring,Miscellaneous human sounds
39,/m/07s0dtb,Gasp,Miscellaneous human sounds
40,/m/07pyy8b,Pant,Miscellaneous human sounds
41,/m/07q0yl5,Snort,Miscellaneous human sounds
42,/m/01b_21,Cough,Miscellaneous human sounds
43,/m/0dl9sf8,Throat clearing,Miscellaneous human sounds
44,/m/01hsr_,Sneeze,Miscellaneous human sounds
45,/m/07ppn3j,Sniff,Miscellaneous human sounds
46,/m/06h7j,Run,Movement & footsteps
47,/m/07qv_x_,Shuffle,Movement & footsteps
48,/m/07pbtc8,"Walk, footsteps",Movement & footsteps
49,/m/03cczk,"Chewing, mastication",Eating & digestive sounds
50,/m/07pdhp0,Biting,Eating & digestive sounds
51,/m/0939n_,Gargling,Eating & digestive sounds
52,/m/01g90h,Stomach rumble,Eating & digestive sounds
53,/m/03q5_w,"Burping, eructation",Eating & digestive sounds
54,/m/02p3nc,Hiccup,Eating & digestive sounds
55,/m/02_nn,Fart,Eating & digestive sounds
56,/m/0k65p,Hands,Crowd & social sounds
57,/m/025_jnm,Finger snapping,Crowd & social sounds
58,/m/0l15bq,Clapping,Crowd & social sounds
59,/m/01jg02,"Heart sounds, heartbeat",Crowd & social sounds
60,/m/01jg1z,Heart murmur,Crowd & social sounds
61,/m/053hz1,Cheering,Crowd & social sounds
62,/m/028ght,Applause,Crowd & social sounds
63,/m/07rkbfh,Chatter,Crowd & social sounds
64,/m/03qtwd,Crowd,Crowd & social sounds
65,/m/07qfr4h,"Hubbub, speech noise, speech babble",Crowd & social sounds
66,/t/dd00013,Children playing,Crowd & social sounds
67,/m/0jbk,Animal,Domestic animals & pets
68,/m/068hy,"Domestic animals, pets",Domestic animals & pets
69,/m/0bt9lr,Dog,Domestic animals & pets
70,/m/05tny_,Bark,Domestic animals & pets
71,/m/07r_k2n,Yip,Domestic animals & pets
72,/m/07qf0zm,Howl,Domestic animals & pets
73,/m/07rc7d9,Bow-wow,Domestic animals & pets
74,/m/0ghcn6,Growling,Domestic animals & pets
75,/t/dd00136,Whimper (dog),Domestic animals & pets
76,/m/01yrx,Cat,Domestic animals & pets
77,/m/02yds9,Purr,Domestic animals & pets
78,/m/07qrkrw,Meow,Domestic animals & pets
79,/m/07rjwbb,Hiss,Domestic animals & pets
80,/m/07r81j2,Caterwaul,Domestic animals & pets
81,/m/0ch8v,"Livestock, farm animals, working animals",Other animal sounds
82,/m/03k3r,Horse,Other animal sounds
83,/m/07rv9rh,Clip-clop,Other animal sounds
84,/m/07q5rw0,"Neigh, whinny",Other animal sounds
85,/m/01xq0k1,"Cattle, bovinae",Other animal sounds
86,/m/07rpkh9,Moo,Other animal sounds
87,/m/0239kh,Cowbell,Other animal sounds
88,/m/068zj,Pig,Other animal sounds
89,/t/dd00018,Oink,Other animal sounds
